breed_id,breed_name,description,image
australorp,Australorp,"Around the same time that Orpingtons were being developed as a breed, Australorps were as well. Australians liked the black Orpingtons that were being brought over from England, and valued them for their egg laying ability. With maximum egg production in mind, Australians continued to develop their own distrinct breed. The breed went by many names, struggling to distinguish itself from Orpingtons, and finally settled on Australorp in the 1920s. These birds are known for their excellent egg production. You’ll easily get 250 light brown eggs per year. The record holding hen laid 364 eggs in a 365 day period, without assistance of artificial lighting.",australorp.jpg
barnvelder,Barnvelder,"Barnvelders are named after the Dutch town of Barnveld. They are a medium sized, dual-purpose bird. They are hardy and make good foragers. They lay a 175–200 brown eggs per year , are good winter layers, and have a calm disposition. The original and most well-known variety of this breed is the Double-laced pattern. They have beautiful plumage, with each feather having copper, black, and metallic green coloring. They make an excellent addition to a backyard flock, and are quite the colorful conversation piece.",barnvelder.jpg
bielefelder,Bielefelder,"The Bielefelder is a modern breed, developed in the early 1970s in Bielefeld, Germany. Poultry breeder Gerd Roth used genetics from a number of breeds including the Cuckoo Malines, Amrock, Wyandotte, and New Hampshire. The Bielefelder managed to retain the best qualities of all these breeds. They probably check off all the boxes on your “perfect chicken” wish list. This dual-purpose breed is autosexing so males and females can be identified immediately upon hatching. Females have a chipmunk strip on their backs, while males are lighter in color and have a yellow spot on their heads. They mature to have a complex feather pattern which is best described as cuckoo red partridge. These birds are very friendly and seek human interaction. They have a large frame that holds plenty of meat. Roosters can weigh 10-12 pounds. Their size and camouflaging feather pattern makes them perfect for free-range conditions. Hens can produce upwards of 230 large eggs per year. Their eggs are a unique shade of brown with pink undertones that you won’t find anywhere else.",bielefelder.jpg
black-red-star,Black Star / Red Star,"Red Stars and Black Stars are hybrids that have been bred to have their color at hatching linked to the sex of the chicken (pullet or cockerel). This makes chick sexing an easier process, and as the purchaser you’re less likely to be surprised. Ever had a pullet start to crow one day? Not with these birds. They were developed to be extremely good egg layers. Don’t be surprised if you see 300 eggs in a year. Egg color and size will vary, depending on the cross-breeding. Black Stars are a cross between a Rhode Island Red rooster and a Barred Rock hen. Red Stars are a cross between a Rhode Island Red rooster and either a White Rock, Silver Laced Wyandotte, Rhode Island White or Delaware hen.",black-red-star.jpg
brahma,Brahma,"Often referred to as the “King of All Poultry”, the Brahma chicken is appreciated for its great size, strength, and vigor. By 1901, birds were documented to have reached the incredible weights of 18 pounds. This breed, together with the Cochin, fueled what became known as “Hen Fever” – a national obsession for poultry that hit both America and England around 1850. Brahmas are an excellent addition to a backyard flock. They are hardy chickens in winter climates, they cannot fly over low fences (because of their size), and they have calm and docile personalities. The best part, they lay the majority of their eggs October thru May. That means while the rest of your girls may slow or even quit production for the winter, your Brahmans will keep the egg cartons full of large, medium brown eggs. Keep in mind Brahmas are not ideal for hot climates. Their anatomy makes them susceptible to overheating. So, if you keep Brahmas, make sure to keep them cool in summer.",brahma.jpg
buckeye,Buckeye,"The Buckeye breed was created by Mrs. Nettie Metcalf in Ohio in the late 19th century. In fact, the Buckeye is the only American breed of chicken developed solely by a woman. She crossed Buff Cochins and Barred Plymouth Rocks to create a large, lazy fowl, and then added some Black-Breasted Red Game birds. Buckeyes are a dual-purpose breed of chicken with a lustrous red color. They have pea combs (distinguishing them from Road Island Reds), are cold-weather hardy, and adaptive to a variety of living conditions. These active, friendly birds are well-known for their abilities to hunt and catch mice.",buckeye.jpg
chantecler,Chantecler,"In 1907, a monk, Brother Wilfrid Châtelain, noticed that no breeds of chicken had yet been established in Canada. All the birds were from Europe or America. He set out to change this and create a practical chicken that would be suited to Canada’s climate, and be an excellent dual-purpose bird. By 1918, he debuted the Chantecler. Chanteclers are large birds with white plumage that lays tight against the body. They have exceptionally small cushion combs and wattles, which attributes to them being one of the most hardy breeds. They are fairly tame, but do not thrive in confinement, so consider this breed for free ranging. They lay about 200 brown eggs annually.",chantecler.jpg
cinnamon-queen,Cinnamon Queen,"The Cinnamon Queen is a modern day production breed that lays brown eggs. They are a cross between a Rhode Island Red rooster and a Rhode Island White hen. At hatching, cockerels are a different color than the pullets so you can be sure of what you are getting—no surprise roosters. They are also known as Golden Comets. Cinnamon Queens were developed specifically for their prolific egg laying ability. Pullets will lay 250-300 eggs per year and start much sooner than heritage breeds. These girls are a perfect fit if you’re looking to start a small egg farm or just want a ton of eggs.",cinnamon-queen.jpg
delaware,Delaware,"Delawares were developed in 1940, in Delaware, by George Ellis. The were originally known as “Indian Rivers.” The breed originated from crosses of Barred Plymouth Rock roosters and New Hampshire hens. Although originally intended as a meat bird, Delawares make an excellent dual purpose bird. They are known to have a calm and friendly disposition, and lay jumbo brown eggs – about 4 per week in ideal conditions. Plus, let’s not forget to mention their beautiful plumage.",delaware.jpg
dominique,Dominique,"The Dominique is characterized by black-and-white barred plumage and a rose comb. It is considered to be the oldest American chicken breed, and is thought to derive from birds brought to America by colonists from southern England. Dominiques are hearty, docile and friendly, making them great breeds for a family. The hens lay around 230-275, light-to-dark brown, medium-size eggs a year. Hens may be broody or not – depending on their line. Broody Dominques make very good mothers. These birds are good foragers, but can live in confinement as well.",dominique.jpg
